Name ,Team ,Current,Tenure ,College,Degree Name,Pro,NCAA,Job History,Job History II,Job History III,Job History IV,Job History V,Job History VI,Job History VII,Promoted After Tenure,Masters
John Hammond,Bucks ,N,9,Greenville,Unknown,N,N,"VPoBO, NBA","Asst Coach, NBA","DoS, NBA","Scout, NBA",Unknown,Unknown,Unknown,"GM, NBA",Unknown
Gar Forman,Bulls,N,9,Utah State,Marketing,N,N,"DoPP, NBA","Asst VPoBO, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
David Griffin,Cavs,N,4,ASU,Poli Sci,N,N,"VPoBO, NBA","SVPoBO, NBA","DoPP, NBA","BOa, NBA","Media Relations, NBA","Intern, NBA",Unknown,"EVPoBO, NBA",Unknown
Travis Schlenk,Hawks,N,3,Bethel,Health Management ,N,N,"AGM, NBA","DoPP, NBA","VS, NBA","VC, NBA","BOa, NBA",Unknown,Unknown,Unknown,Unknown
Wes Wilcox,Hawks,N,2,Fullerton,Unknown,N,N,"AGM, NBA","DoPP, NBA","Asst. Coach, NBA","PPS, NBA","CS, NBA","AS, NBA","VC, NBA",Unknown,Unknown
Danny Ferry ,Hawks,N,3,Duke ,Unknown,Y,Y,"VPoBO, NBA","PoBO, NBA","GM, NBA","GM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown
Rick Sund ,Hawks,N,4,Northwestern,Poli Sci,N,Y,"DoPR, NBA ","GM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Billy King,Nets,N,6,Duke,Unknown,N,Y,"GM, NBA","VPoBA, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MA
Mitch Kupchak,Hornets,N,6,UNC,Unknown,Y,Y,"GM, NBA","AGM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Rich Cho ,Hornets,N,4,WSU,Mechanical Engineering,N,N,"GM, NBA","AGM, NBA","DoBA, NBA","Intern, NBA",Unknown,Unknown,Unknown,Unknown,MBA
Rod Higgins ,Hornets,N,7,Fresno State,Unknown,Y,Y,"GM, NBA","AGM, NBA","Asst Coach, NBA",Unknown,Unknown,Unknown,Unknown,"PoBO, NBA",Unknown
Daryl Morey,Rockets ,N,13,Northwestern,Computer Science,N,N,"DoBO, NBA","AGM, NBA","VPoBO, NBA",Unknown,Unknown,Unknown,Unknown,"PoBO, NBA",MBA
Koby Altman ,Cavs,N,5,Middlebury,Unknown,N,Y,"DoPP, NBA","PPM, NBA",Unknown,Unknown,Unknown,Unknown,Unknown,"PoBO, NBA",MBA
Chris Grant,Cavs,N,4,USD,Psych,N,Y,"VPoBO, NBA","AGM, NBA","DoS, NBA","Asst DoS, NBA",Unknown,Unknown,Unknown,Unknown,MA
Donnie Nelson,Mavericks,N,16,Wheaton,Unknown,N,Y,"Asst Coach, NBA","Asst Coach, NBA","Asst Coach, NBA","Scout, NBA",Unknown,Unknown,Unknown,Unknown,Unknown
Tim Connelly,Nuggets,N,9,Pitt,Economics,N,N,"AGM, NBA","DoPP, NBA","Scout, NBA","BOi, NBA",Unknown,Unknown,Unknown,"PoBO, NBA",Unknown
Masai Ujiri,Nuggets,N,3,Montana State - Billings,Unknown,Y,Y,"EVPoBO, NBA","AGM, NBA","DoPP, NBA","DoGS, NBA",Unknown,Unknown,Unknown,"Team President, NBA",Unknown
Troy Weaver,Pistons ,N,4,Bowie State,Unknown,N,Y,"VPoBO, NBA","VP, NBA","AGM, NBA","DoPP, NBA","HS, NBA","Asst Coach, NCAA","Asst Coach, NCAA",Unknown,Unknown
